cod_dep,depto,codigo,municipio,perdida_bruta_ha,recuperacion_bruta_ha,perdida_neta_ha,tipo_unidad,perdida_neta_calculada_ha,perdida_bruta_anual_ha,recuperacion_bruta_anual_ha,perdida_neta_anual_ha,clasificacion_perdida_neta_reportada
13,Huehuetenango,1333,Petatán,0.6127797800,0.0000000000,0.6127797800,Municipio,0.6127797800,0.1531949450,0.0000000000,0.1531949450,Pérdida
14,Quiché,1401,Santa Cruz del Quiché,259.0522544100,0.2591270700,258.7931273400,Municipio,258.7931273400,64.7630636025,0.0647817675,64.6982818350,Pérdida
14,Quiché,1402,Chiché,375.9327401600,0.0000000000,375.9327401600,Municipio,375.9327401600,93.9831850400,0.0000000000,93.9831850400,Pérdida
14,Quiché,1403,Chinique,466.3902396200,0.0863709500,466.3038686700,Municipio,466.3038686700,116.5975599050,0.0215927375,116.5759671675,Pérdida
14,Quiché,1404,Zacualpa,197.5645272100,1.5884779900,195.9760492200,Municipio,195.9760492200,49.3911318025,0.3971194975,48.9940123050,Pérdida
14,Quiché,1405,Chajul,1002.1215214000,1993.1186264000,-990.9971050000,Municipio,-990.9971050000,250.5303803500,498.2796566000,-247.7492762500,Ganancia
14,Quiché,1406,Chichicastenango,127.1247567000,1.0376086700,126.0871480300,Municipio,126.0871480300,31.7811891750,0.2594021675,31.5217870075,Pérdida
14,Quiché,1407,Patzité,22.4789096500,0.0000000000,22.4789096500,Municipio,22.4789096500,5.6197274125,0.0000000000,5.6197274125,Pérdida
14,Quiché,1408,San Antonio Ilotenango,25.9160774400,0.0863598100,25.8297176300,Municipio,25.8297176300,6.4790193600,0.0215899525,6.4574294075,Pérdida
14,Quiché,1409,San Pedro Jocopilas,1508.6761319800,6.9553023100,1501.7208296700,Municipio,1501.7208296700,377.1690329950,1.7388255775,375.4302074175,Pérdida
14,Quiché,1410,Cunén,267.8989545700,285.9034029900,-18.0044484200,Municipio,-18.0044484200,66.9747386425,71.4758507475,-4.5011121050,Ganancia
14,Quiché,1411,San Juan Cotzal,264.2703283300,47.6419305100,216.6283978200,Municipio,216.6283978200,66.0675820825,11.9104826275,54.1570994550,Pérdida
14,Quiché,1412,Joyabaj,223.4421157100,21.4711962100,201.9709195000,Municipio,201.9709195000,55.8605289275,5.3677990525,50.4927298750,Pérdida
14,Quiché,1413,Nebaj,974.1508499600,1293.4022833700,-319.2514334100,Municipio,-319.2514334100,243.5377124900,323.3505708425,-79.8128583525,Ganancia
14,Quiché,1414,San Andrés Sajcabajá,177.8627123100,132.5249525300,45.3377597800,Municipio,45.3377597800,44.4656780775,33.1312381325,11.3344399450,Pérdida
14,Quiché,1415,Uspantán,1963.2554621700,720.7533896000,1242.5020725700,Municipio,1242.5020725700,490.8138655425,180.1883474000,310.6255181425,Pérdida
14,Quiché,1416,Sacapulas,227.7604692200,136.2240660100,91.5364032100,Municipio,91.5364032100,56.9401173050,34.0560165025,22.8841008025,Pérdida
14,Quiché,1417,San Bartolomé Jocotenango,342.9184694800,168.0114752600,174.9069942200,Municipio,174.9069942200,85.7296173700,42.0028688150,43.7267485550,Pérdida
14,Quiché,1418,Canillá,105.9588890900,341.4591077800,-235.5002186900,Municipio,-235.5002186900,26.4897222725,85.3647769450,-58.8750546725,Ganancia
14,Quiché,1419,Chicamán,883.0235882100,78.2356461000,804.7879421100,Municipio,804.7879421100,220.7558970525,19.5589115250,201.1969855275,Pérdida
14,Quiché,1420,Ixcán,3420.6328027500,4393.4043389300,-972.7715361800,Municipio,-972.7715361800,855.1582006875,1098.3510847325,-243.1928840450,Ganancia
14,Quiché,1421,Pachalum,6.8273412800,0.2593001900,6.5680410900,Municipio,6.5680410900,1.7068353200,0.0648250475,1.6420102725,Pérdida
15,Baja Verapaz,1501,Salamá,849.1907205000,199.2260475800,649.9646729200,Municipio,649.9646729200,212.2976801250,49.8065118950,162.4911682300,Pérdida
15,Baja Verapaz,1502,San Miguel Chicaj,52.4261172000,38.6209020900,13.8052151100,Municipio,13.8052151100,13.1065293000,9.6552255225,3.4513037775,Pérdida
15,Baja Verapaz,1503,Rabinal,153.6873849000,15.8474058300,137.8399790700,Municipio,137.8399790700,38.4218462250,3.9618514575,34.4599947675,Pérdida
15,Baja Verapaz,1504,Cubulco,1021.9000433900,9.8392989600,1012.0607444300,Municipio,1012.0607444300,255.4750108475,2.4598247400,253.0151861075,Pérdida
15,Baja Verapaz,1505,Granados,150.4384114000,3.3155674100,147.1228439900,Municipio,147.1228439900,37.6096028500,0.8288918525,36.7807109975,Pérdida
15,Baja Verapaz,1506,El Chol,36.2148505000,2.2760410200,33.9388094800,Municipio,33.9388094800,9.0537126250,0.5690102550,8.4847023700,Pérdida
15,Baja Verapaz,1507,San Jerónimo,684.2164644900,30.6433171700,653.5731473200,Municipio,653.5731473200,171.0541161225,7.6608292925,163.3932868300,Pérdida
15,Baja Verapaz,1508,Purulhá,867.8568792600,30.6098029300,837.2470763300,Municipio,837.2470763300,216.9642198150,7.6524507325,209.3117690825,Pérdida
16,Alta Verapaz,1601,Cobán,6607.6721142300,925.7728768600,5681.8992373700,Municipio,5681.8992373700,1651.9180285575,231.4432192150,1420.4748093425,Pérdida
16,Alta Verapaz,1602,Santa Cruz Verapaz,205.0042686300,408.7283649200,-203.7240962900,Municipio,-203.7240962900,51.2510671575,102.1820912300,-50.9310240725,Ganancia
16,Alta Verapaz,1603,San Cristóbal Verapaz,1059.4139705200,252.1042785300,807.3096919900,Municipio,807.3096919900,264.8534926300,63.0260696325,201.8274229975,Pérdida
16,Alta Verapaz,1604,Tactic,174.4797050500,58.1497823000,116.3299227500,Municipio,116.3299227500,43.6199262625,14.5374455750,29.0824806875,Pérdida
16,Alta Verapaz,1605,Tamahú,101.6513174500,3.1922819100,98.4590355400,Municipio,98.4590355400,25.4128293625,0.7980704775,24.6147588850,Pérdida
16,Alta Verapaz,1606,Tucurú,319.7262616900,14.5808616400,305.1454000500,Municipio,305.1454000500,79.9315654225,3.6452154100,76.2863500125,Pérdida
16,Alta Verapaz,1607,Panzós,1981.1605313900,54.6013363800,1926.5591950100,Municipio,1926.5591950100,495.2901328475,13.6503340950,481.6397987525,Pérdida
16,Alta Verapaz,1608,Senahú,3231.6878176500,91.4759187400,3140.2118989100,Municipio,3140.2118989100,807.9219544125,22.8689796850,785.0529747275,Pérdida
16,Alta Verapaz,1609,San Pedro Carchá,3369.2938635100,1177.1890391300,2192.1048243800,Municipio,2192.1048243800,842.3234658775,294.2972597825,548.0262060950,Pérdida
16,Alta Verapaz,1610,San Juan Chamelco,262.1493808500,379.8429125800,-117.6935317300,Municipio,-117.6935317300,65.5373452125,94.9607281450,-29.4233829325,Ganancia
16,Alta Verapaz,1611,Lanquín,615.3353952500,1570.8357259100,-955.5003306600,Municipio,-955.5003306600,153.8338488125,392.7089314775,-238.8750826650,Ganancia
16,Alta Verapaz,1612,Cahabón,3064.5690216100,1419.7240484100,1644.8449732000,Municipio,1644.8449732000,766.1422554025,354.9310121025,411.2112433000,Pérdida
16,Alta Verapaz,1613,Chisec,3481.5145586500,3339.8232995700,141.6912590800,Municipio,141.6912590800,870.3786396625,834.9558248925,35.4228147700,Pérdida
16,Alta Verapaz,1614,Chahal,1896.7959948300,1563.9504471900,332.8455476400,Municipio,332.8455476400,474.1989987075,390.9876117975,83.2113869100,Pérdida
16,Alta Verapaz,1615,Fray Bartolomé de las Casas,3585.5108968600,2061.8379414300,1523.6729554300,Municipio,1523.6729554300,896.3777242150,515.4594853575,380.9182388575,Pérdida
16,Alta Verapaz,1616,Santa Catalina la Tinta,466.4462897800,4.4881795800,461.9581102000,Municipio,461.9581102000,116.6115724450,1.1220448950,115.4895275500,Pérdida
16,Alta Verapaz,1617,Raxruhá,1786.2149979300,1124.3843954400,661.8306024900,Municipio,661.8306024900,446.5537494825,281.0960988600,165.4576506225,Pérdida
17,Petén,1701,Flores,7237.4976479900,8226.3262679700,-988.8286199800,Municipio,-988.8286199800,1809.3744119975,2056.5815669925,-247.2071549950,Ganancia
