cod_dep,depto,codigo,municipio,perdida_bruta_ha,recuperacion_bruta_ha,perdida_neta_ha,tipo_unidad,proporcion_regeneracion_equivalente_aplicada_min,proporcion_regeneracion_equivalente_aplicada_max,en_dominio_recuperacion,saldo_ponderado_inferior_ha,saldo_ponderado_superior_ha
7,Sololá,709,San Andrés Semetabaj,41.6720508300,0.8650685300,40.8069823000,Municipio,1.0000000000,1.0000000000,False,40.8069823000,40.8069823000
7,Sololá,710,Panajachel,1.6435100600,0.5190036800,1.1245063800,Municipio,1.0000000000,1.0000000000,False,1.1245063800,1.1245063800
7,Sololá,711,Santa Catarina Palopó,2.0764083800,2.3259691200,-0.2495607400,Municipio,1.0000000000,1.0000000000,False,-0.2495607400,-0.2495607400
7,Sololá,712,San Antonio Palopó,31.8388926800,2.1839877100,29.6549049700,Municipio,1.0000000000,1.0000000000,False,29.6549049700,29.6549049700
7,Sololá,713,San Lucas Tolimán,82.0928920000,13.0910544400,69.0018375600,Municipio,1.0000000000,1.0000000000,False,69.0018375600,69.0018375600
7,Sololá,714,Santa Cruz La Laguna,1.5571333100,1.5572026800,-0.0000693700,Municipio,1.0000000000,1.0000000000,False,-0.0000693700,-0.0000693700
7,Sololá,715,San Pablo La Laguna,0.4325579900,0.0000000000,0.4325579900,Municipio,1.0000000000,1.0000000000,False,0.4325579900,0.4325579900
7,Sololá,716,San Marcos La Laguna,4.1528194300,0.5096079600,3.6432114700,Municipio,1.0000000000,1.0000000000,False,3.6432114700,3.6432114700
7,Sololá,717,San Juan La Laguna,60.5000411900,60.4929743900,0.0070668000,Municipio,1.0000000000,1.0000000000,False,0.0070668000,0.0070668000
7,Sololá,718,San Pedro La Laguna,64.3629900500,0.1730877800,64.1899022700,Municipio,1.0000000000,1.0000000000,False,64.1899022700,64.1899022700
7,Sololá,719,Santiago Atitlán,81.5828825900,263.5106707900,-181.9277882000,Municipio,1.0000000000,1.0000000000,False,-181.9277882000,-181.9277882000
8,Totonicapán,801,Totonicapán,31.2930705800,1.1851039500,30.1079666300,Municipio,1.0000000000,1.0000000000,False,30.1079666300,30.1079666300
8,Totonicapán,802,San Cristóbal Totonicapán,0.1728973400,0.0000000000,0.1728973400,Municipio,1.0000000000,1.0000000000,False,0.1728973400,0.1728973400
8,Totonicapán,803,San Francisco El Alto,2.3337311600,0.0000000000,2.3337311600,Municipio,1.0000000000,1.0000000000,False,2.3337311600,2.3337311600
8,Totonicapán,804,San Andrés Xecul,0.0000000000,0.0000000000,0.0000000000,Municipio,1.0000000000,1.0000000000,False,0.0000000000,0.0000000000
8,Totonicapán,805,Momostenango,146.4840256300,3.8711642700,142.6128613600,Municipio,1.0000000000,1.0000000000,False,142.6128613600,142.6128613600
8,Totonicapán,806,Santa María Chiquimula,248.2838891900,0.4321370200,247.8517521700,Municipio,1.0000000000,1.0000000000,False,247.8517521700,247.8517521700
8,Totonicapán,807,Santa Lucía La Reforma,6.6024015400,1.2472960100,5.3551055300,Municipio,1.0000000000,1.0000000000,False,5.3551055300,5.3551055300
8,Totonicapán,808,San Bartolo Aguas Calientes,22.6093380200,0.2591157600,22.3502222600,Municipio,1.0000000000,1.0000000000,False,22.3502222600,22.3502222600
9,Quetzaltenango,901,Quetzaltenango,40.3240801900,0.0864970700,40.2375831200,Municipio,1.0000000000,1.0000000000,False,40.2375831200,40.2375831200
9,Quetzaltenango,902,Salcajá,0.0000000000,0.0000000000,0.0000000000,Municipio,1.0000000000,1.0000000000,False,0.0000000000,0.0000000000
9,Quetzaltenango,903,Olintepeque,0.0636847100,0.0000000000,0.0636847100,Municipio,1.0000000000,1.0000000000,False,0.0636847100,0.0636847100
9,Quetzaltenango,904,San Carlos Sija,83.0576437300,0.3455469600,82.7120967700,Municipio,1.0000000000,1.0000000000,False,82.7120967700,82.7120967700
9,Quetzaltenango,905,Sibilia,0.0000000000,0.0000000000,0.0000000000,Municipio,1.0000000000,1.0000000000,False,0.0000000000,0.0000000000
9,Quetzaltenango,906,Cabricán,3.8009408000,2.8488720400,0.9520687600,Municipio,1.0000000000,1.0000000000,False,0.9520687600,0.9520687600
9,Quetzaltenango,907,Cajolá,1.7291063700,0.0000000000,1.7291063700,Municipio,1.0000000000,1.0000000000,False,1.7291063700,1.7291063700
9,Quetzaltenango,908,San Miguel Sigüila,0.0000000000,0.0000000000,0.0000000000,Municipio,1.0000000000,1.0000000000,False,0.0000000000,0.0000000000
9,Quetzaltenango,909,San Juan Ostuncalco,0.6054132600,4.1680520700,-3.5626388100,Municipio,1.0000000000,1.0000000000,False,-3.5626388100,-3.5626388100
9,Quetzaltenango,910,San Mateo,0.0000000000,0.2594779600,-0.2594779600,Municipio,1.0000000000,1.0000000000,False,-0.2594779600,-0.2594779600
9,Quetzaltenango,911,Concepción Chiquirichapa,0.1729835500,0.1024548600,0.0705286900,Municipio,1.0000000000,1.0000000000,False,0.0705286900,0.0705286900
9,Quetzaltenango,912,San Martín Sacatepéquez,9.2569197100,226.4587761100,-217.2018564000,Municipio,1.0000000000,1.0000000000,False,-217.2018564000,-217.2018564000
9,Quetzaltenango,913,Almolonga,12.3835926800,0.0000000000,12.3835926800,Municipio,1.0000000000,1.0000000000,False,12.3835926800,12.3835926800
9,Quetzaltenango,914,Cantel,1.6140162900,0.0000000000,1.6140162900,Municipio,1.0000000000,1.0000000000,False,1.6140162900,1.6140162900
9,Quetzaltenango,915,Huitán,0.0000000000,0.0000000000,0.0000000000,Municipio,1.0000000000,1.0000000000,False,0.0000000000,0.0000000000
9,Quetzaltenango,916,Zunil,20.5044877700,0.2595845400,20.2449032300,Municipio,1.0000000000,1.0000000000,False,20.2449032300,20.2449032300
9,Quetzaltenango,917,Colomba,566.1943068900,135.1071750800,431.0871318100,Municipio,0.5930000000,0.7660000000,True,462.7022107787,486.0757520676
9,Quetzaltenango,918,San Francisco La Unión,0.2821578200,0.0000000000,0.2821578200,Municipio,1.0000000000,1.0000000000,False,0.2821578200,0.2821578200
9,Quetzaltenango,919,El Palmar,231.4591209900,2.3372815000,229.1218394900,Municipio,0.5930000000,0.7660000000,True,229.6687633610,230.0731130605
9,Quetzaltenango,920,Coatepeque,484.5075540500,1439.3773404400,-954.8697863900,Municipio,0.5930000000,0.7660000000,True,-618.0554887270,-369.0432088309
9,Quetzaltenango,921,Génova,274.7004740800,505.4491579900,-230.7486839100,Municipio,0.5930000000,0.7660000000,True,-112.4735809403,-25.0308766081
9,Quetzaltenango,922,Flores Costa Cuca,153.1426829900,150.2949785500,2.8477044400,Municipio,0.5930000000,0.7660000000,True,38.0167294207,64.0177607099
9,Quetzaltenango,923,La Esperanza,0.1729417300,0.0000000000,0.1729417300,Municipio,1.0000000000,1.0000000000,False,0.1729417300,0.1729417300
9,Quetzaltenango,924,Palestina de los Altos,0.0000000000,0.0000000000,0.0000000000,Municipio,1.0000000000,1.0000000000,False,0.0000000000,0.0000000000
10,Suchitepéquez,1001,Mazatenango,241.2400374000,194.2572303500,46.9828070500,Municipio,0.5930000000,0.7660000000,True,92.4389989519,126.0454998025
10,Suchitepéquez,1002,Cuyotenango,188.7783153900,412.8861227300,-224.1078073400,Municipio,0.5930000000,0.7660000000,True,-127.4924546212,-56.0631553889
10,Suchitepéquez,1003,San Francisco Zapotitlán,36.6690078400,120.5542058700,-83.8851980300,Municipio,1.0000000000,1.0000000000,False,-83.8851980300,-83.8851980300
10,Suchitepéquez,1004,San Bernardino,19.7741502600,88.1529864000,-68.3788361400,Municipio,0.5930000000,0.7660000000,True,-47.7510373224,-32.5005706752
10,Suchitepéquez,1005,San José El Ídolo,190.8729451400,955.7824368400,-764.9094917000,Municipio,0.5930000000,0.7660000000,True,-541.2564014794,-375.9060399061
10,Suchitepéquez,1006,Santo Domingo Suchitepéquez,136.4899904100,898.5997205000,-762.1097300900,Municipio,0.5930000000,0.7660000000,True,-551.8373954930,-396.3796438465
10,Suchitepéquez,1007,San Lorenzo,126.7226227900,839.0529908000,-712.3303680100,Municipio,0.5930000000,0.7660000000,True,-515.9919681628,-370.8358007544
10,Suchitepéquez,1008,Samayac,35.5806790400,377.7136253800,-342.1329463400,Municipio,1.0000000000,1.0000000000,False,-342.1329463400,-342.1329463400
10,Suchitepéquez,1009,San Pablo Jocopila,0.0000000000,3.0976796800,-3.0976796800,Municipio,1.0000000000,1.0000000000,False,-3.0976796800,-3.0976796800
10,Suchitepéquez,1010,San Antonio Suchitepéquez,113.6091682700,346.9771191100,-233.3679508400,Municipio,0.5930000000,0.7660000000,True,-152.1753049683,-92.1482633622
10,Suchitepéquez,1011,San Miguel Panán,36.4066988100,201.3336007600,-164.9269019500,Municipio,1.0000000000,1.0000000000,False,-164.9269019500,-164.9269019500
10,Suchitepéquez,1012,San Gabriel,12.4321572400,9.7008784600,2.7312787800,Municipio,0.5930000000,0.7660000000,True,5.0012843396,6.6795363132
10,Suchitepéquez,1013,Chicacao,268.4469035600,2458.0701950800,-2189.6232915200,Municipio,0.5930000000,0.7660000000,True,-1614.4348658713,-1189.1887221224
10,Suchitepéquez,1014,Patulul,308.3218701000,617.7374177200,-309.4155476200,Municipio,0.5930000000,0.7660000000,True,-164.8649918735,-57.9964186080
10,Suchitepéquez,1015,Santa Bárbara,277.9677470200,1485.2253303800,-1207.2575833600,Municipio,1.0000000000,1.0000000000,False,-1207.2575833600,-1207.2575833600
10,Suchitepéquez,1016,San Juan Bautista,52.5359697200,466.6875886700,-414.1516189500,Municipio,1.0000000000,1.0000000000,False,-414.1516189500,-414.1516189500
10,Suchitepéquez,1017,Santo Tomas La Unión,0.6059642600,0.0000000000,0.6059642600,Municipio,1.0000000000,1.0000000000,False,0.6059642600,0.6059642600
10,Suchitepéquez,1018,Zunilito,0.0000000000,0.0000000000,0.0000000000,Municipio,1.0000000000,1.0000000000,False,0.0000000000,0.0000000000
10,Suchitepéquez,1019,Pueblo Nuevo,18.0290590700,0.0000000000,18.0290590700,Municipio,1.0000000000,1.0000000000,False,18.0290590700,18.0290590700
10,Suchitepéquez,1020,Río Bravo,365.2839713200,187.6637144500,177.6202568700,Municipio,0.5930000000,0.7660000000,True,221.5335660513,253.9993886511
10,Suchitepéquez,1021,La Máquina,30.0830834700,412.8064195700,-382.7233361000,Municipio,0.5930000000,0.7660000000,True,-286.1266339206,-214.7111233350
11,Retalhuleu,1101,Retalhuleu,976.9842781300,2092.0490755200,-1115.0647973900,Municipio,0.5930000000,0.7660000000,True,-625.5253137183,-263.6008236534
11,Retalhuleu,1102,San Sebastián,21.8950861900,162.9774359100,-141.0823497200,Municipio,0.5930000000,0.7660000000,True,-102.9456297171,-74.7505333046
11,Retalhuleu,1103,Santa Cruz Muluá,264.6805660900,588.3767677500,-323.6962016600,Municipio,0.5930000000,0.7660000000,True,-186.0160380065,-84.2268571857
11,Retalhuleu,1104,San Martín Zapotitlán,30.3970884000,0.0000000000,30.3970884000,Municipio,0.5930000000,0.7660000000,True,30.3970884000,30.3970884000
11,Retalhuleu,1105,San Felipe Retalhuleu,68.6044174200,31.1237178200,37.4806996000,Municipio,0.5930000000,0.7660000000,True,44.7636495699,50.1480527527
11,Retalhuleu,1106,San Andrés Villa Seca,793.8298810500,1072.2269761000,-278.3970950500,Municipio,0.5930000000,0.7660000000,True,-27.4959826426,157.9992842227
11,Retalhuleu,1107,Champerico,403.4097824100,1010.8792308500,-607.4694484400,Municipio,0.5930000000,0.7660000000,True,-370.9237084211,-196.0416014840
11,Retalhuleu,1108,Nuevo San Carlos,124.6958713500,339.7133156400,-215.0174442900,Municipio,0.5930000000,0.7660000000,True,-135.5245284302,-76.7541248245
11,Retalhuleu,1109,El Asintal,144.0838790200,454.1473725200,-310.0634935000,Municipio,0.5930000000,0.7660000000,True,-203.7930083303,-125.2255128844
12,San Marcos,1201,San Marcos,13.2905804500,8.0387083500,5.2518721000,Municipio,1.0000000000,1.0000000000,False,5.2518721000,5.2518721000
12,San Marcos,1202,San Pedro Sacatepéquez,24.7474658300,16.0826515200,8.6648143100,Municipio,1.0000000000,1.0000000000,False,8.6648143100,8.6648143100
12,San Marcos,1203,San Antonio Sacatepéquez,11.8433651200,0.1728735700,11.6704915500,Municipio,1.0000000000,1.0000000000,False,11.6704915500,11.6704915500
12,San Marcos,1204,Comitancillo,3.2821704800,0.2636593200,3.0185111600,Municipio,1.0000000000,1.0000000000,False,3.0185111600,3.0185111600
12,San Marcos,1205,San Miguel Ixtahuacán,35.2155343200,1.8127485300,33.4027857900,Municipio,1.0000000000,1.0000000000,False,33.4027857900,33.4027857900
12,San Marcos,1206,Concepción Tutuapa,24.0606156800,1.6400241100,22.4205915700,Municipio,1.0000000000,1.0000000000,False,22.4205915700,22.4205915700
