cod_dep,depto,codigo,municipio,perdida_bruta_ha,recuperacion_bruta_ha,perdida_neta_ha,tipo_unidad,grupo_territorial_id,proporcion_grupo_id,grupo_territorial_nombre,sitios_referencia,intervalo_proporcion_regeneracion_equivalente,proporcion_regeneracion_equivalente_min,proporcion_regeneracion_equivalente_central,proporcion_regeneracion_equivalente_max,tratamiento_intervalo,fundamento_vinculacion_sitios,saldo_ponderado_inferior_ha,saldo_ponderado_superior_ha,saldo_ponderado_central_ha,clasificacion_perdida_neta_reportada,clasificacion_ponderada,brecha_ponderacion_inferior_ha,brecha_ponderacion_superior_ha,proporcion_regeneracion_equivalente_critica
5,Escuintla,513,Nueva Concepción,197.3482140100,133.0454813300,64.3027326800,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,95.4353753112,118.4522435813,106.9438094463,Pérdida,Pérdida,31.1326426312,54.1495109013,1.4833139167
5,Escuintla,514,Sipacate,747.0403161900,133.5192672300,613.5210489600,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,644.7645574918,667.8633907226,656.3139741072,Pérdida,Pérdida,31.2435085318,54.3423417626,5.5950001201
6,Santa Rosa,607,San Juan Tecuaco,53.0078365600,0.3470280200,52.6608085400,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,52.7420130967,52.8020489441,52.7720310204,Pérdida,Pérdida,0.0812045567,0.1412404041,152.7480016167
6,Santa Rosa,608,Chiquimulilla,612.4753194900,764.3082825200,-151.8329630300,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,27.0151750797,159.2405079556,93.1278415177,Ganancia,Pérdida,178.8481381097,311.0734709856,0.8013459143
6,Santa Rosa,609,Taxisco,336.3816820800,740.2429562100,-403.8612741300,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,-230.6444223769,-102.5823909525,-166.6134066647,Ganancia,Ganancia,173.2168517531,301.2788831775,0.4544206456
6,Santa Rosa,610,Santa María Ixhuatán,69.0022304400,28.6197255200,40.3825049200,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,47.0795206917,52.0307332066,49.5551269492,Pérdida,Pérdida,6.6970157717,11.6482282866,2.4110025231
6,Santa Rosa,611,Guazacapán,49.2144204400,119.3865999100,-70.1721794700,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,-42.2357150911,-21.5818333066,-31.9087741988,Ganancia,Ganancia,27.9364643789,48.5903461634,0.4122273394
9,Quetzaltenango,917,Colomba,566.1943068900,135.1071750800,431.0871318100,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,462.7022107787,486.0757520676,474.3889814231,Pérdida,Pérdida,31.6150789687,54.9886202576,4.1907049463
9,Quetzaltenango,919,El Palmar,231.4591209900,2.3372815000,229.1218394900,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,229.6687633610,230.0731130605,229.8709382108,Pérdida,Pérdida,0.5469238710,0.9512735705,99.0292016559
9,Quetzaltenango,920,Coatepeque,484.5075540500,1439.3773404400,-954.8697863900,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,-618.0554887270,-369.0432088309,-493.5493487790,Ganancia,Ganancia,336.8142976630,585.8265775591,0.3366091298
