cod_dep,depto,codigo,municipio,perdida_bruta_ha,recuperacion_bruta_ha,perdida_neta_ha,tipo_unidad,grupo_territorial_id,proporcion_grupo_id,grupo_territorial_nombre,sitios_referencia,intervalo_proporcion_regeneracion_equivalente,proporcion_regeneracion_equivalente_min,proporcion_regeneracion_equivalente_central,proporcion_regeneracion_equivalente_max,tratamiento_intervalo,fundamento_vinculacion_sitios,saldo_ponderado_inferior_ha,saldo_ponderado_superior_ha,saldo_ponderado_central_ha,clasificacion_perdida_neta_reportada,clasificacion_ponderada,brecha_ponderacion_inferior_ha,brecha_ponderacion_superior_ha,proporcion_regeneracion_equivalente_critica,cambio_clasificacion
14,Quiché,1420,Ixcán,3420.6328027500,4393.4043389300,-972.7715361800,Municipio,REG-PET-FTN,REG-PET-FTN,Sur de Petén y vertiente norte,"Chajul, México",59.4%,0.5940000000,0.5940000000,0.5940000000,Intervalo directo de valores publicados por sitio,Bosques húmedos de tierras bajas del ámbito de la Selva Maya.,810.9506254256,810.9506254256,810.9506254256,Ganancia,Pérdida,1783.7221616056,1783.7221616056,0.7785836538,Ganancia → Pérdida
16,Alta Verapaz,1610,San Juan Chamelco,262.1493808500,379.8429125800,-117.6935317300,Municipio,REG-PET-FTN,REG-PET-FTN,Sur de Petén y vertiente norte,"Chajul, México",59.4%,0.5940000000,0.5940000000,0.5940000000,Intervalo directo de valores publicados por sitio,Bosques húmedos de tierras bajas del ámbito de la Selva Maya.,36.5226907775,36.5226907775,36.5226907775,Ganancia,Pérdida,154.2162225075,154.2162225075,0.6901520923,Ganancia → Pérdida
17,Petén,1701,Flores,7237.4976479900,8226.3262679700,-988.8286199800,Municipio,REG-PET-N,REG-PET-N,Norte y centro de Petén,"Quintana Roo y Yucatán, México",66.4-66.7%,0.6640000000,0.6655000000,0.6670000000,Intervalo directo de valores publicados por sitio,"Plataforma kárstica, estacionalidad y bosques tropicales estacionales.",1750.5380272540,1775.2170060579,1762.8775166560,Ganancia,Pérdida,2739.3666472340,2764.0456260379,0.8797970579,Ganancia → Pérdida
17,Petén,1707,Santa Ana,4233.7967955600,5860.5798452100,-1626.7830496500,Municipio,REG-PET-N,REG-PET-N,Norte y centro de Petén,"Quintana Roo y Yucatán, México",66.4-66.7%,0.6640000000,0.6655000000,0.6670000000,Intervalo directo de valores publicados por sitio,"Plataforma kárstica, estacionalidad y bosques tropicales estacionales.",324.7900388049,342.3717783406,333.5809085727,Ganancia,Pérdida,1951.5730884549,1969.1548279906,0.7224194376,Ganancia → Pérdida
17,Petén,1708,Dolores,7108.2912476700,10293.3639892200,-3185.0727415500,Municipio,REG-PET-FTN,REG-PET-FTN,Sur de Petén y vertiente norte,"Chajul, México",59.4%,0.5940000000,0.5940000000,0.5940000000,Intervalo directo de valores publicados por sitio,Bosques húmedos de tierras bajas del ámbito de la Selva Maya.,994.0330380733,994.0330380733,994.0330380733,Ganancia,Pérdida,4179.1057796233,4179.1057796233,0.6905702796,Ganancia → Pérdida
17,Petén,1709,San Luis,12351.4146271600,13370.2092940100,-1018.7946668500,Municipio,REG-PET-FTN,REG-PET-FTN,Sur de Petén y vertiente norte,"Chajul, México",59.4%,0.5940000000,0.5940000000,0.5940000000,Intervalo directo de valores publicados por sitio,Bosques húmedos de tierras bajas del ámbito de la Selva Maya.,4409.5103065181,4409.5103065181,4409.5103065181,Ganancia,Pérdida,5428.3049733681,5428.3049733681,0.9238011429,Ganancia → Pérdida
17,Petén,1710,Sayaxché,12525.8602300500,14289.3399833300,-1763.4797532800,Municipio,REG-PET-FTN,REG-PET-FTN,Sur de Petén y vertiente norte,"Chajul, México",59.4%,0.5940000000,0.5940000000,0.5940000000,Intervalo directo de valores publicados por sitio,Bosques húmedos de tierras bajas del ámbito de la Selva Maya.,4037.9922799520,4037.9922799520,4037.9922799520,Ganancia,Pérdida,5801.4720332320,5801.4720332320,0.8765877392,Ganancia → Pérdida
19,Zacapa,1904,Gualán,617.1798737400,1432.0827753600,-814.9029016200,Municipio,REG-SEC-MOT,REG-SEC-MOT,"Valles secos interiores, Motagua y Salamá–Chixoy","Sitios secos de Bolivia, Brasil y México",25-65%,0.2500000000,0.4500000000,0.6500000000,Intervalo de sitios secos con redondeo exterior a incrementos de 0.05,Mayor déficit hídrico y recuperación generalmente más lenta.,-313.6739302440,259.1591799000,-27.2573751720,Ganancia,Indeterminado,501.2289713760,1074.0620815200,0.4309666203,Ganancia → Indeterminado
19,Zacapa,1905,Teculután,48.9116782800,57.9830105900,-9.0713323100,Municipio,REG-SEC-MOT,REG-SEC-MOT,"Valles secos interiores, Motagua y Salamá–Chixoy","Sitios secos de Bolivia, Brasil y México",25-65%,0.2500000000,0.4500000000,0.6500000000,Intervalo de sitios secos con redondeo exterior a incrementos de 0.05,Mayor déficit hídrico y recuperación generalmente más lenta.,11.2227213965,34.4159256325,22.8193235145,Ganancia,Pérdida,20.2940537065,43.4872579425,0.8435518919,Ganancia → Pérdida
19,Zacapa,1907,Cabañas,79.6194390500,165.6145039400,-85.9950648900,Municipio,REG-SEC-MOT,REG-SEC-MOT,"Valles secos interiores, Motagua y Salamá–Chixoy","Sitios secos de Bolivia, Brasil y México",25-65%,0.2500000000,0.4500000000,0.6500000000,Intervalo de sitios secos con redondeo exterior a incrementos de 0.05,Mayor déficit hídrico y recuperación generalmente más lenta.,-28.0299885110,38.2158130650,5.0929122770,Ganancia,Indeterminado,57.9650763790,124.2108779550,0.4807516078,Ganancia → Indeterminado
19,Zacapa,1910,Huité,106.8177919000,137.2821408800,-30.4643489800,Municipio,REG-SEC-MOT,REG-SEC-MOT,"Valles secos interiores, Motagua y Salamá–Chixoy","Sitios secos de Bolivia, Brasil y México",25-65%,0.2500000000,0.4500000000,0.6500000000,Intervalo de sitios secos con redondeo exterior a incrementos de 0.05,Mayor déficit hídrico y recuperación generalmente más lenta.,17.5844003280,72.4972566800,45.0408285040,Ganancia,Pérdida,48.0487493080,102.9616056600,0.7780894967,Ganancia → Pérdida
20,Chiquimula,2008,Concepción Las Minas,23.0430196000,53.5257999600,-30.4827803600,Municipio,REG-ORI-EST,REG-ORI-EST,Oriente de Guatemala,"El Ocote, México, y Santa Rosa, Costa Rica",33.6-84.9%,0.3360000000,0.5925000000,0.8490000000,Intervalo directo de valores publicados por sitio,Bosques tropicales estacionales del oriente de Guatemala.,-22.4003845660,5.0583508134,-8.6710168763,Ganancia,Indeterminado,8.0823957940,35.5411311734,0.4305030400,Ganancia → Indeterminado
22,Jutiapa,2202,El Progreso,0.0000000000,0.0000000000,0.0000000000,Municipio,REG-ORI-EST,REG-ORI-EST,Oriente de Guatemala,"El Ocote, México, y Santa Rosa, Costa Rica",33.6-84.9%,0.3360000000,0.5925000000,0.8490000000,Intervalo directo de valores publicados por sitio,Bosques tropicales estacionales del oriente de Guatemala.,0.0000000000,0.0000000000,0.0000000000,Equilibrio,Indeterminado,0.0000000000,0.0000000000,,Equilibrio → Indeterminado
22,Jutiapa,2204,Agua Blanca,44.4970645700,113.2390549100,-68.7419903400,Municipio,REG-ORI-EST,REG-ORI-EST,Oriente de Guatemala,"El Ocote, México, y Santa Rosa, Costa Rica",33.6-84.9%,0.3360000000,0.5925000000,0.8490000000,Intervalo directo de valores publicados por sitio,Bosques tropicales estacionales del oriente de Guatemala.,-51.6428930486,6.4487421202,-22.5970754642,Ganancia,Indeterminado,17.0990972914,75.1907324602,0.3929480390,Ganancia → Indeterminado
22,Jutiapa,2206,Yupiltepeque,0.0000000000,0.0000000000,0.0000000000,Municipio,REG-ORI-EST,REG-ORI-EST,Oriente de Guatemala,"El Ocote, México, y Santa Rosa, Costa Rica",33.6-84.9%,0.3360000000,0.5925000000,0.8490000000,Intervalo directo de valores publicados por sitio,Bosques tropicales estacionales del oriente de Guatemala.,0.0000000000,0.0000000000,0.0000000000,Equilibrio,Indeterminado,0.0000000000,0.0000000000,,Equilibrio → Indeterminado
22,Jutiapa,2215,Pasaco,65.0754267900,83.6759956400,-18.6005688500,Municipio,REG-ORI-EST,REG-ORI-EST,Oriente de Guatemala,"El Ocote, México, y Santa Rosa, Costa Rica",33.6-84.9%,0.3360000000,0.5925000000,0.8490000000,Intervalo directo de valores publicados por sitio,Bosques tropicales estacionales del oriente de Guatemala.,-5.9654935084,36.9602922550,15.4973993733,Ganancia,Indeterminado,12.6350753416,55.5608611050,0.7777072300,Ganancia → Indeterminado
