proporcion_region_id,region_nombre,site_id,site_name,country,rainfall_mm,relative_recovery_pct_20y,uso_sitio,regla_intervalo,redondeo,fuente_verificacion,source_locator,version_metodo
REG-SEC-MOT,Corredor seco y valle del Motagua,san_lorenzo,San Lorenzo,Bolivia,1129,64.5000000000,numerico,minimo_maximo,minimo_hacia_abajo_y_maximo_hacia_arriba_a_incrementos_de_0.05,csv_dryad_y_tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
REG-SEC-MOT,Corredor seco y valle del Motagua,sao_paulo,Sao Paulo,Brazil,1367,35.7000000000,numerico,minimo_maximo,minimo_hacia_abajo_y_maximo_hacia_arriba_a_incrementos_de_0.05,csv_dryad_y_tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
REG-SEC-MOT,Corredor seco y valle del Motagua,chamela,Chamela,Mexico,788,49.9000000000,numerico,minimo_maximo,minimo_hacia_abajo_y_maximo_hacia_arriba_a_incrementos_de_0.05,csv_dryad_y_tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
REG-SEC-MOT,Corredor seco y valle del Motagua,nizanda,Nizanda,Mexico,878,25.4000000000,numerico,minimo_maximo,minimo_hacia_abajo_y_maximo_hacia_arriba_a_incrementos_de_0.05,csv_dryad_y_tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
REG-SEC-MOT,Corredor seco y valle del Motagua,cajueiro,Cajueiro,Brazil,840,,contextual_sin_porcentaje,minimo_maximo,minimo_hacia_abajo_y_maximo_hacia_arriba_a_incrementos_de_0.05,csv_dryad_y_tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
REG-SEC-MOT,Corredor seco y valle del Motagua,mata_seca,Mata Seca,Brazil,825,,contextual_sin_porcentaje,minimo_maximo,minimo_hacia_abajo_y_maximo_hacia_arriba_a_incrementos_de_0.05,csv_dryad_y_tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
REG-SEC-MOT,Corredor seco y valle del Motagua,patos,Patos,Brazil,750,,contextual_sin_porcentaje,minimo_maximo,minimo_hacia_abajo_y_maximo_hacia_arriba_a_incrementos_de_0.05,csv_dryad_y_tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
REG-SEC-MOT,Corredor seco y valle del Motagua,palo_verde,Palo Verde,Costa Rica,1444,,contextual_sin_porcentaje,minimo_maximo,minimo_hacia_abajo_y_maximo_hacia_arriba_a_incrementos_de_0.05,csv_dryad_y_tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
REG-SEC-MOT,Corredor seco y valle del Motagua,quintana_roo,Quintana Roo,Mexico,1250,66.4000000000,asignado_a_otra_region,minimo_maximo,minimo_hacia_abajo_y_maximo_hacia_arriba_a_incrementos_de_0.05,tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
REG-SEC-MOT,Corredor seco y valle del Motagua,yucatan,Yucatán,Mexico,1100,66.7000000000,asignado_a_otra_region,minimo_maximo,minimo_hacia_abajo_y_maximo_hacia_arriba_a_incrementos_de_0.05,csv_dryad_y_tabla_ampliada,Poorter et al. 2016 Extended Data Table 1,1.0.0
