cod_dep,depto,codigo,municipio,perdida_bruta_ha,ganancia_bruta_ha,balance_neto_cobertura_ha,tipo_unidad
12,San Marcos,1227,Esquipulas Palo Gordo,2.76698763,3.89123478,-1.12424715,Municipio
12,San Marcos,1228,Río Blanco,0.43209316,0.17280743,0.25928573,Municipio
12,San Marcos,1229,San Lorenzo,38.25130624,0.0,38.25130624,Municipio
12,San Marcos,1230,La Blanca,105.52090067,133.54012442,-28.01922375000001,Municipio
13,Huehuetenango,1301,Huehuetenango,15.61976337,0.08524336,15.53452001,Municipio
13,Huehuetenango,1302,Chiantla,85.11627362,66.49594465,18.620328970000003,Municipio
13,Huehuetenango,1303,Malacatancito,47.42917154,2.30016713,45.12900441,Municipio
13,Huehuetenango,1304,Cuilco,120.12192887,29.67695557,90.4449733,Municipio
13,Huehuetenango,1305,Nentón,510.28925418,181.90275624,328.38649794,Municipio
13,Huehuetenango,1306,San Pedro Nécta,12.76094598,17.67740968,-4.9164637,Municipio
13,Huehuetenango,1307,Jacaltenango,79.06051501,1.37547147,77.68504354000001,Municipio
13,Huehuetenango,1308,San Pedro Soloma,242.62418516,161.14539161,81.47879355,Municipio
13,Huehuetenango,1309,San Idelfonso Ixtahuacán,5.34906529,1.03540247,4.31366282,Municipio
13,Huehuetenango,1310,Santa Bárbara,7.26979071,0.43144116,6.838349549999999,Municipio
13,Huehuetenango,1311,La Libertad,38.91299824,10.60832544,28.3046728,Municipio
13,Huehuetenango,1312,La Democracia,5.16060202,0.25599286,4.90460916,Municipio
13,Huehuetenango,1313,San Miguel Acatán,58.24095113,21.17177793,37.0691732,Municipio
13,Huehuetenango,1314,San Rafael La Independencia,5.16879747,16.219671310000003,-11.05087384,Municipio
13,Huehuetenango,1315,Todos Santos Cuchumatán,31.43572773,14.05273386,17.38299387,Municipio
13,Huehuetenango,1316,San Juan Atitán,13.47081933,0.17246798,13.29835135,Municipio
13,Huehuetenango,1317,Santa Eulalia,1081.40500577,147.88214036,933.52286541,Municipio
13,Huehuetenango,1318,San Mateo Ixtatán,1338.86782444,94.24411454,1244.6237099,Municipio
13,Huehuetenango,1319,Colotenango,5.83880888,8.88376085,-3.04495197,Municipio
13,Huehuetenango,1320,San Sebastián Huehuetenango,2.76044795,1.03514841,1.7252995400000002,Municipio
13,Huehuetenango,1321,Tectitán,11.26405391,4.83443484,6.429619069999999,Municipio
13,Huehuetenango,1322,Concepción Huista,39.85452334,3.88347041,35.97105293,Municipio
