anio,escenario,regla,vp_acumulado_inferior_gtq,vp_acumulado_superior_gtq
2029,Deterioro proporcional acelerado,Deforestación bruta,207788037436.2499389648,207788037436.2499389648
2030,Deterioro proporcional acelerado,Deforestación bruta,254838051245.9862365723,254838051245.9862365723
2031,Deterioro proporcional acelerado,Deforestación bruta,300078449139.9634399414,300078449139.9634399414
2032,Deterioro proporcional acelerado,Deforestación bruta,343578831730.3261108398,343578831730.3261108398
2033,Deterioro proporcional acelerado,Deforestación bruta,385406122682.5979614258,385406122682.5979614258
2034,Deterioro proporcional acelerado,Deforestación bruta,425624671675.1669921875,425624671675.1669921875
2035,Deterioro proporcional acelerado,Deforestación bruta,464296353398.7910766602,464296353398.7910766602
2026,Deterioro proporcional acelerado,Saldo ponderado por recuperación,26231775416.3260459900,27924236813.8391685486
2027,Deterioro proporcional acelerado,Saldo ponderado por recuperación,51454636393.5626220703,54774464519.4537506104
2028,Deterioro proporcional acelerado,Saldo ponderado por recuperación,75707387333.2131805420,80591991159.4677734375
2029,Deterioro proporcional acelerado,Saldo ponderado por recuperación,99027340159.8002624512,105416536005.6351013184
2030,Deterioro proporcional acelerado,Saldo ponderado por recuperación,121450371723.8262939453,129286290665.4113769531
2031,Deterioro proporcional acelerado,Saldo ponderado por recuperación,143010978996.9282531738,152237977838.2731933594
2032,Deterioro proporcional acelerado,Saldo ponderado por recuperación,163742332144.1416625977,174306907812.1787719727
2033,Deterioro proporcional acelerado,Saldo ponderado por recuperación,183676325554.9237976074,195527032787.0879516602
2034,Deterioro proporcional acelerado,Saldo ponderado por recuperación,202843626911.4450683594,215930999109.1160278320
2035,Deterioro proporcional acelerado,Saldo ponderado por recuperación,221273724369.6386108398,235550197495.6814880371
2026,Deterioro proporcional acelerado,Pérdida neta institucional,11877150469.4793834686,11877150469.4793834686
2027,Deterioro proporcional acelerado,Pérdida neta institucional,23297487459.3634033203,23297487459.3634033203
2028,Deterioro proporcional acelerado,Pérdida neta institucional,34278580718.8672714233,34278580718.8672714233
2029,Deterioro proporcional acelerado,Pérdida neta institucional,44837324237.6209869385,44837324237.6209869385
2030,Deterioro proporcional acelerado,Pérdida neta institucional,54989962236.4226379395,54989962236.4226379395
2031,Deterioro proporcional acelerado,Pérdida neta institucional,64752114158.3473052979,64752114158.3473052979
2032,Deterioro proporcional acelerado,Pérdida neta institucional,74138798698.6594848633,74138798698.6594848633
2033,Deterioro proporcional acelerado,Pérdida neta institucional,83164456910.4981079102,83164456910.4981079102
2034,Deterioro proporcional acelerado,Pérdida neta institucional,91842974421.8814086914,91842974421.8814086914
2035,Deterioro proporcional acelerado,Pérdida neta institucional,100187702798.2115020752,100187702798.2115020752
